90 269
2 1 -375.0
3 1 125.0
3 2 -375.0
5 1 -125.0
5 2 125.0
5 3 -125.0
5 4 125.0
6 1 -250.0
6 2 250.0
6 3 -250.0
6 4 125.0
6 5 375.0
8 7 -375.0
10 7 -125.0
10 8 125.0
10 9 125.0
12 11 -375.0
14 11 -125.0
14 12 125.0
14 13 125.0
16 15 -375.0
18 15 -125.0
18 16 125.0
18 17 125.0
20 19 -375.0
22 19 -125.0
22 20 125.0
22 21 125.0
24 1 -375.0
24 23 -375.0
25 12 -375.0
25 23 125.0
25 24 -375.0
27 23 -125.0
27 24 125.0
27 25 -125.0
27 26 125.0
28 23 -250.0
28 24 250.0
28 25 -250.0
28 26 125.0
28 27 375.0
30 29 -375.0
32 29 -125.0
32 30 125.0
32 31 125.0
34 12 125.0
34 23 -375.0
34 25 -375.0
34 33 -375.0
36 33 -125.0
36 34 125.0
36 35 125.0
37 19 125.0
38 29 -375.0
38 37 -375.0
40 37 -125.0
40 38 125.0
40 39 125.0
41 19 -375.0
41 33 -375.0
41 37 -375.0
43 19 -125.0
43 37 -125.0
43 41 125.0
43 42 125.0
44 19 -250.0
44 37 -250.0
44 41 250.0
44 42 125.0
44 43 375.0
45 19 -375.0
46 19 -375.0
46 45 125.0
47 19 -375.0
47 45 125.0
47 46 125.0
48 19 -375.0
48 45 125.0
48 46 125.0
48 47 125.0
50 19 125.0
50 45 -125.0
50 46 -125.0
50 47 -125.0
50 48 -125.0
50 49 125.0
51 19 250.0
51 45 -250.0
51 46 -250.0
51 47 -250.0
51 48 -250.0
51 49 125.0
51 50 375.0
52 19 375.0
52 45 -375.0
52 46 -375.0
52 47 -375.0
52 48 -375.0
52 49 125.0
52 50 500.0
52 51 875.0
53 19 500.0
53 45 -500.0
53 46 -500.0
53 47 -500.0
53 48 -500.0
53 49 125.0
53 50 625.0
53 51 1125.0
53 52 1625.0
54 1 -375.0
54 24 125.0
56 1 125.0
56 24 -125.0
56 54 -125.0
56 55 125.0
57 1 250.0
57 24 -250.0
57 54 -250.0
57 55 125.0
57 56 375.0
58 37 -375.0
60 37 125.0
60 58 -125.0
60 59 125.0
61 11 -375.0
63 11 125.0
63 61 -125.0
63 62 125.0
64 33 -375.0
64 41 125.0
66 33 125.0
66 41 -125.0
66 64 -125.0
66 65 125.0
67 33 250.0
67 41 -250.0
67 64 -250.0
67 65 125.0
67 66 375.0
68 12 125.0
68 25 -375.0
68 34 125.0
70 12 -125.0
70 25 125.0
70 34 -125.0
70 68 -125.0
70 69 125.0
71 12 -250.0
71 25 250.0
71 34 -250.0
71 68 -250.0
71 69 125.0
71 70 375.0
72 12 -375.0
72 25 375.0
72 34 -375.0
72 68 -375.0
72 69 125.0
72 70 500.0
72 71 875.0
73 15 -375.0
75 15 125.0
75 73 -125.0
75 74 125.0
76 23 -375.0
76 34 125.0
78 23 125.0
78 34 -125.0
78 76 -125.0
78 77 125.0
79 23 250.0
79 34 -250.0
79 76 -250.0
79 77 125.0
79 78 375.0
80 3 -375.0
82 3 125.0
82 80 -125.0
82 81 125.0
83 29 -375.0
83 38 125.0
85 29 125.0
85 38 -125.0
85 83 -125.0
85 84 125.0
86 29 250.0
86 38 -250.0
86 83 -250.0
86 84 125.0
86 85 375.0
87 7 -375.0
89 7 125.0
89 87 -125.0
89 88 125.0
1 90 -500.0
2 90 350.0
3 90 -375.0
4 90 125.0
5 90 125.0
6 90 125.0
7 90 -250.0
8 90 -25.0
10 90 -125.0
11 90 -250.0
12 90 -124.5
14 90 -125.0
15 90 -250.0
16 90 125.5
18 90 -125.0
19 90 -500.0
20 90 125.5
22 90 -125.0
23 90 -500.0
24 90 500.5
25 90 -500.0
26 90 125.0
27 90 125.0
28 90 125.0
29 90 -375.0
30 90 125.5
32 90 -125.0
33 90 -375.0
34 90 -124.5
36 90 -125.0
37 90 -500.0
38 90 125.5
40 90 -125.0
41 90 500.5
42 90 125.0
43 90 125.0
44 90 125.0
45 90 -625.0
46 90 -625.0
47 90 -625.0
48 90 -625.0
49 90 375.0
50 90 1250.0
51 90 2125.0
52 90 3000.0
53 90 3875.0
55 90 125.0
56 90 375.0
57 90 625.0
58 90 125.0
60 90 125.0
61 90 125.0
63 90 125.0
65 90 125.0
66 90 375.0
67 90 625.0
68 90 -250.0
69 90 250.0
70 90 750.0
71 90 1250.0
72 90 1750.0
73 90 125.0
75 90 125.0
77 90 125.0
78 90 375.0
79 90 625.0
80 90 125.0
82 90 125.0
84 90 125.0
85 90 375.0
86 90 625.0
87 90 125.0
89 90 125.0
