829 2566
1 0 -375.0
3 0 -125.0
3 1 125.0
3 2 125.0
5 4 -375.0
6 4 125.0
6 5 -375.0
8 4 -125.0
8 5 125.0
8 6 -125.0
8 7 125.0
9 4 -250.0
9 5 250.0
9 6 -250.0
9 7 125.0
9 8 375.0
11 10 -375.0
13 10 -125.0
13 11 125.0
13 12 125.0
15 14 -375.0
16 14 125.0
16 15 -375.0
18 14 -125.0
18 15 125.0
18 16 -125.0
18 17 125.0
19 14 -250.0
19 15 250.0
19 16 -250.0
19 17 125.0
19 18 375.0
21 20 -375.0
23 20 -125.0
23 21 125.0
23 22 125.0
25 24 -375.0
27 24 -125.0
27 25 125.0
27 26 125.0
29 28 -375.0
30 28 125.0
30 29 -375.0
32 28 -125.0
32 29 125.0
32 30 -125.0
32 31 125.0
33 28 -250.0
33 29 250.0
33 30 -250.0
33 31 125.0
33 32 375.0
35 34 -375.0
36 34 125.0
36 35 -375.0
38 34 -125.0
38 35 125.0
38 36 -125.0
38 37 125.0
39 34 -250.0
39 35 250.0
39 36 -250.0
39 37 125.0
39 38 375.0
41 40 -375.0
42 40 125.0
42 41 -375.0
44 40 -125.0
44 41 125.0
44 42 -125.0
44 43 125.0
45 40 -250.0
45 41 250.0
45 42 -250.0
45 43 125.0
45 44 375.0
47 46 -375.0
49 46 -125.0
49 47 125.0
49 48 125.0
51 46 -375.0
51 50 -375.0
53 50 -125.0
53 51 125.0
53 52 125.0
54 30 125.0
55 54 -375.0
56 54 125.0
56 55 -375.0
58 54 -125.0
58 55 125.0
58 56 -125.0
58 57 125.0
59 54 -250.0
59 55 250.0
59 56 -250.0
59 57 125.0
59 58 375.0
60 16 -375.0
62 16 -125.0
62 60 125.0
62 61 125.0
64 63 -375.0
66 63 -125.0
66 64 125.0
66 65 125.0
68 67 -375.0
69 67 125.0
69 68 -375.0
70 67 125.0
70 68 -375.0
70 69 125.0
72 67 -125.0
72 68 125.0
72 69 -125.0
72 70 -125.0
72 71 125.0
73 67 -250.0
73 68 250.0
73 69 -250.0
73 70 -250.0
73 71 125.0
73 72 375.0
74 67 -375.0
74 68 375.0
74 69 -375.0
74 70 -375.0
74 71 125.0
74 72 500.0
74 73 875.0
75 40 125.0
75 42 125.0
76 42 -375.0
76 75 -375.0
77 42 125.0
77 75 125.0
77 76 -375.0
79 42 -125.0
79 75 -125.0
79 76 125.0
79 77 -125.0
79 78 125.0
80 42 -250.0
80 75 -250.0
80 76 250.0
80 77 -250.0
80 78 125.0
80 79 375.0
81 42 -375.0
81 75 -375.0
81 76 375.0
81 77 -375.0
81 78 125.0
81 79 500.0
81 80 875.0
83 82 -375.0
84 82 125.0
84 83 -375.0
86 82 -125.0
86 83 125.0
86 84 -125.0
86 85 125.0
87 82 -250.0
87 83 250.0
87 84 -250.0
87 85 125.0
87 86 375.0
89 88 -375.0
91 88 -125.0
91 89 125.0
91 90 125.0
93 92 -375.0
95 92 -125.0
95 93 125.0
95 94 125.0
96 20 125.0
97 20 -375.0
97 96 -375.0
99 20 -125.0
99 96 -125.0
99 97 125.0
99 98 125.0
100 20 -250.0
100 96 -250.0
100 97 250.0
100 98 125.0
100 99 375.0
102 101 -375.0
104 101 -125.0
104 102 125.0
104 103 125.0
105 70 -375.0
107 70 -125.0
107 105 125.0
107 106 125.0
108 77 -375.0
109 42 125.0
109 77 125.0
109 108 -375.0
111 77 -125.0
111 108 125.0
111 109 -125.0
111 110 125.0
112 77 -250.0
112 108 250.0
112 109 -250.0
112 110 125.0
112 111 375.0
114 50 -375.0
114 113 -375.0
116 113 -125.0
116 114 125.0
116 115 125.0
118 63 -375.0
118 117 -375.0
120 117 -125.0
120 118 125.0
120 119 125.0
122 121 -375.0
124 121 -125.0
124 122 125.0
124 123 125.0
126 125 -375.0
128 125 -125.0
128 126 125.0
128 127 125.0
130 129 -375.0
132 129 -125.0
132 130 125.0
132 131 125.0
134 125 -375.0
134 133 -375.0
136 133 -125.0
136 134 125.0
136 135 125.0
137 28 125.0
138 28 -375.0
138 137 -375.0
139 28 125.0
139 137 250.0
139 138 -375.0
141 28 -125.0
141 137 -125.0
141 138 125.0
141 139 -125.0
141 140 125.0
142 28 -250.0
142 137 -250.0
142 138 250.0
142 139 -250.0
142 140 125.0
142 141 375.0
143 28 -375.0
143 137 -375.0
143 138 375.0
143 139 -375.0
143 140 125.0
143 141 500.0
143 142 875.0
144 30 -375.0
144 54 -375.0
145 24 125.0
145 30 125.0
145 54 125.0
145 144 -375.0
147 30 -125.0
