538 2187
1 0 -375.0
2 0 125.0
2 1 -375.0
3 0 375.0
3 1 -375.0
3 2 125.0
5 0 -125.0
5 1 125.0
5 2 -125.0
5 3 -125.0
5 4 125.0
6 0 -250.0
6 1 250.0
6 2 -250.0
6 3 -250.0
6 4 125.0
6 5 375.0
7 0 -375.0
7 1 375.0
7 2 -375.0
7 3 -375.0
7 4 125.0
7 5 500.0
7 6 875.0
9 8 -375.0
10 8 125.0
10 9 -375.0
11 8 125.0
11 9 -375.0
11 10 125.0
12 8 125.0
12 9 -375.0
12 10 125.0
12 11 125.0
14 8 -125.0
14 9 125.0
14 10 -125.0
14 11 -125.0
14 12 -125.0
14 13 125.0
15 8 -250.0
15 9 250.0
15 10 -250.0
15 11 -250.0
15 12 -250.0
15 13 125.0
15 14 375.0
16 8 -375.0
16 9 375.0
16 10 -375.0
16 11 -375.0
16 12 -375.0
16 13 125.0
16 14 500.0
16 15 875.0
17 8 -500.0
17 9 500.0
17 10 -500.0
17 11 -500.0
17 12 -500.0
17 13 125.0
17 14 625.0
17 15 1125.0
17 16 1625.0
19 18 -375.0
21 18 -125.0
21 19 125.0
21 20 125.0
23 22 -375.0
24 22 125.0
24 23 -375.0
26 22 -125.0
26 23 125.0
26 24 -125.0
26 25 125.0
27 22 -250.0
27 23 250.0
27 24 -250.0
27 25 125.0
27 26 375.0
28 0 125.0
28 3 125.0
29 0 -375.0
29 3 -375.0
29 28 -375.0
30 0 250.0
30 3 250.0
30 28 125.0
30 29 -375.0
31 0 125.0
31 3 125.0
31 28 125.0
31 29 -375.0
31 30 125.0
32 0 125.0
32 3 125.0
32 12 125.0
32 28 125.0
32 29 -375.0
32 30 125.0
32 31 125.0
34 0 -125.0
34 3 -125.0
34 28 -125.0
34 29 125.0
34 30 -125.0
34 31 -125.0
34 32 -125.0
34 33 125.0
35 0 -250.0
35 3 -250.0
35 28 -250.0
35 29 250.0
35 30 -250.0
35 31 -250.0
35 32 -250.0
35 33 125.0
35 34 375.0
36 0 -375.0
36 3 -375.0
36 28 -375.0
36 29 375.0
36 30 -375.0
36 31 -375.0
36 32 -375.0
36 33 125.0
36 34 500.0
36 35 875.0
37 0 -500.0
37 3 -500.0
37 28 -500.0
37 29 500.0
37 30 -500.0
37 31 -500.0
37 32 -500.0
37 33 125.0
37 34 625.0
37 35 1125.0
37 36 1625.0
38 0 -625.0
38 3 -625.0
38 28 -625.0
38 29 625.0
38 30 -625.0
38 31 -625.0
38 32 -625.0
38 33 125.0
38 34 750.0
38 35 1375.0
38 36 2000.0
38 37 2625.0
39 0 -750.0
39 3 -750.0
39 28 -750.0
39 29 750.0
39 30 -750.0
39 31 -750.0
39 32 -750.0
39 33 125.0
39 34 875.0
39 35 1625.0
39 36 2375.0
39 37 3125.0
39 38 3875.0
41 40 -375.0
42 11 125.0
42 40 125.0
42 41 -375.0
44 40 -125.0
44 41 125.0
44 42 -125.0
44 43 125.0
45 40 -250.0
45 41 250.0
45 42 -250.0
45 43 125.0
45 44 375.0
47 46 -375.0
49 46 -125.0
49 47 125.0
49 48 125.0
51 50 -375.0
53 50 -125.0
53 51 125.0
53 52 125.0
54 28 125.0
55 28 -375.0
55 54 -375.0
57 28 -125.0
57 54 -125.0
57 55 125.0
57 56 125.0
58 28 -250.0
58 54 -250.0
58 55 250.0
58 56 125.0
58 57 375.0
59 3 -375.0
59 30 -375.0
61 3 -125.0
61 30 -125.0
61 59 125.0
61 60 125.0
62 3 -250.0
62 30 -250.0
62 59 250.0
62 60 125.0
62 61 375.0
64 63 -375.0
66 63 -125.0
66 64 125.0
66 65 125.0
68 67 -375.0
70 67 -125.0
70 68 125.0
70 69 125.0
71 8 125.0
72 8 -375.0
72 71 -375.0
73 8 125.0
73 11 125.0
73 42 125.0
73 71 125.0
73 72 -375.0
74 8 125.0
74 9 -375.0
74 71 125.0
74 72 -375.0
74 73 125.0
76 8 -125.0
76 71 -125.0
76 72 125.0
76 73 -125.0
76 74 -125.0
76 75 125.0
77 8 -250.0
77 71 -250.0
77 72 250.0
77 73 -250.0
77 74 -250.0
77 75 125.0
77 76 375.0
78 8 -375.0
78 71 -375.0
78 72 375.0
78 73 -375.0
78 74 -375.0
78 75 125.0
78 76 500.0
78 77 875.0
79 8 -500.0
79 71 -500.0
79 72 500.0
79 73 -500.0
79 74 -500.0
79 75 125.0
79 76 625.0
79 77 1125.0
79 78 1625.0
80 12 125.0
80 32 125.0
81 80 -375.0
82 80 125.0
82 81 -375.0
84 80 -125.0
84 81 125.0
84 82 -125.0
84 83 125.0
85 80 -250.0
85 81 250.0
85 82 -250.0
85 83 125.0
85 84 375.0
86 40 -375.0
88 40 -125.0
88 86 125.0
88 87 125.0
90 89 -375.0
91 89 125.0
91 90 -375.0
92 89 125.0
92 90 -375.0
92 91 125.0
94 89 -125.0
94 90 125.0
94 91 -125.0
94 92 -125.0
94 93 125.0
95 89 -250.0
95 90 250.0
95 91 -250.0
95 92 -250.0
95 93 125.0
95 94 375.0
96 89 -375.0
96 90 375.0
96 91 -375.0
96 92 -375.0
96 93 125.0
96 94 500.0
96 95 875.0
98 97 -375.0
100 97 -125.0
100 98 125.0
100 99 125.0
101 29 -375.0
102 101 -375.0
104 101 -125.0
104 102 125.0
