687 2874
1 0 -375.0
2 0 125.0
2 1 -375.0
4 0 -125.0
4 1 125.0
4 2 -125.0
4 3 125.0
5 0 -250.0
5 1 250.0
5 2 -250.0
5 3 125.0
5 4 375.0
7 6 -375.0
8 6 125.0
8 7 -375.0
10 6 -125.0
10 7 125.0
10 8 -125.0
10 9 125.0
11 6 -250.0
11 7 250.0
11 8 -250.0
11 9 125.0
11 10 375.0
13 12 -375.0
14 12 125.0
14 13 -375.0
15 6 125.0
15 12 125.0
15 13 -375.0
15 14 125.0
16 12 125.0
16 13 -375.0
16 14 125.0
16 15 125.0
18 12 -125.0
18 13 125.0
18 14 -125.0
18 15 -125.0
18 16 -125.0
18 17 125.0
19 12 -250.0
19 13 250.0
19 14 -250.0
19 15 -250.0
19 16 -250.0
19 17 125.0
19 18 375.0
20 12 -375.0
20 13 375.0
20 14 -375.0
20 15 -375.0
20 16 -375.0
20 17 125.0
20 18 500.0
20 19 875.0
21 12 -500.0
21 13 500.0
21 14 -500.0
21 15 -500.0
21 16 -500.0
21 17 125.0
21 18 625.0
21 19 1125.0
21 20 1625.0
23 22 -375.0
25 22 -125.0
25 23 125.0
25 24 125.0
27 26 -375.0
28 26 125.0
28 27 -375.0
29 26 125.0
29 27 -375.0
29 28 125.0
31 26 -125.0
31 27 125.0
31 28 -125.0
31 29 -125.0
31 30 125.0
32 26 -250.0
32 27 250.0
32 28 -250.0
32 29 -250.0
32 30 125.0
32 31 375.0
33 26 -375.0
33 27 375.0
33 28 -375.0
33 29 -375.0
33 30 125.0
33 31 500.0
33 32 875.0
35 34 -375.0
36 34 125.0
36 35 -375.0
37 34 125.0
37 35 -375.0
37 36 125.0
38 34 125.0
38 35 -375.0
38 36 125.0
38 37 125.0
39 34 125.0
39 35 -375.0
39 36 125.0
39 37 125.0
39 38 125.0
41 34 -125.0
41 35 125.0
41 36 -125.0
41 37 -125.0
41 38 -125.0
41 39 -125.0
41 40 125.0
42 34 -250.0
42 35 250.0
42 36 -250.0
42 37 -250.0
42 38 -250.0
42 39 -250.0
42 40 125.0
42 41 375.0
43 34 -375.0
43 35 375.0
43 36 -375.0
43 37 -375.0
43 38 -375.0
43 39 -375.0
43 40 125.0
43 41 500.0
43 42 875.0
44 34 -500.0
44 35 500.0
44 36 -500.0
44 37 -500.0
44 38 -500.0
44 39 -500.0
44 40 125.0
44 41 625.0
44 42 1125.0
44 43 1625.0
45 34 -625.0
45 35 625.0
45 36 -625.0
45 37 -625.0
45 38 -625.0
45 39 -625.0
45 40 125.0
45 41 750.0
45 42 1375.0
45 43 2000.0
45 44 2625.0
47 46 -375.0
48 46 125.0
48 47 -375.0
50 46 -125.0
50 47 125.0
50 48 -125.0
50 49 125.0
51 46 -250.0
51 47 250.0
51 48 -250.0
51 49 125.0
51 50 375.0
53 52 -375.0
55 52 -125.0
55 53 125.0
55 54 125.0
57 56 -375.0
58 56 125.0
58 57 -375.0
59 56 125.0
59 57 -375.0
59 58 125.0
61 56 -125.0
61 57 125.0
61 58 -125.0
61 59 -125.0
61 60 125.0
62 56 -250.0
62 57 250.0
62 58 -250.0
62 59 -250.0
62 60 125.0
62 61 375.0
63 56 -375.0
63 57 375.0
63 58 -375.0
63 59 -375.0
63 60 125.0
63 61 500.0
63 62 875.0
64 8 -375.0
66 8 -125.0
66 64 125.0
66 65 125.0
68 67 -375.0
70 67 -125.0
70 68 125.0
70 69 125.0
72 71 -375.0
73 71 125.0
73 72 -375.0
74 71 125.0
74 72 -375.0
74 73 125.0
76 71 -125.0
76 72 125.0
76 73 -125.0
76 74 -125.0
76 75 125.0
77 71 -250.0
77 72 250.0
77 73 -250.0
77 74 -250.0
77 75 125.0
77 76 375.0
78 71 -375.0
78 72 375.0
78 73 -375.0
78 74 -375.0
78 75 125.0
78 76 500.0
78 77 875.0
79 67 -375.0
81 67 -125.0
81 79 125.0
81 80 125.0
83 82 -375.0
84 82 125.0
84 83 -375.0
86 82 -125.0
86 83 125.0
86 84 -125.0
86 85 125.0
87 82 -250.0
87 83 250.0
87 84 -250.0
87 85 125.0
87 86 375.0
88 82 125.0
89 82 -375.0
89 88 -375.0
90 82 125.0
90 88 125.0
90 89 -375.0
92 82 -125.0
92 88 -125.0
92 89 125.0
92 90 -125.0
92 91 125.0
93 82 -250.0
93 88 -250.0
93 89 250.0
93 90 -250.0
93 91 125.0
93 92 375.0
94 82 -375.0
94 88 -375.0
94 89 375.0
94 90 -375.0
94 91 125.0
94 92 500.0
94 93 875.0
96 95 -375.0
97 95 125.0
97 96 -375.0
98 95 125.0
98 96 -375.0
98 97 125.0
100 95 -125.0
100 96 125.0
100 97 -125.0
100 98 -125.0
100 99 125.0
101 95 -250.0
101 96 250.0
101 97 -250.0
101 98 -250.0
101 99 125.0
101 100 375.0
102 95 -375.0
102 96 375.0
102 97 -375.0
102 98 -375.0
102 99 125.0
102 100 500.0
102 101 875.0
103 68 -375.0
104 71 -375.0
104 103 -375.0
106 103 -125.0
106 104 125.0
106 105 125.0
107 97 -375.0
108 97 125.0
108 107 -375.0
110 97 -125.0
110 107 125.0
110 108 -125.0
110 109 125.0
111 97 -250.0
111 107 250.0
111 108 -250.0
111 109 125.0
111 110 375.0
113 112 -375.0
114 112 125.0
114 113 -375.0
