659 2333
1 0 -375.0
2 0 125.0
2 1 -375.0
3 0 125.0
3 1 -375.0
3 2 125.0
4 0 125.0
4 1 -375.0
4 2 125.0
4 3 125.0
6 0 -125.0
6 1 125.0
6 2 -125.0
6 3 -125.0
6 4 -125.0
6 5 125.0
7 0 -250.0
7 1 250.0
7 2 -250.0
7 3 -250.0
7 4 -250.0
7 5 125.0
7 6 375.0
8 0 -375.0
8 1 375.0
8 2 -375.0
8 3 -375.0
8 4 -375.0
8 5 125.0
8 6 500.0
8 7 875.0
9 0 -500.0
9 1 500.0
9 2 -500.0
9 3 -500.0
9 4 -500.0
9 5 125.0
9 6 625.0
9 7 1125.0
9 8 1625.0
11 10 -375.0
13 10 -125.0
13 11 125.0
13 12 125.0
15 14 -375.0
17 14 -125.0
17 15 125.0
17 16 125.0
18 4 125.0
19 4 -375.0
19 18 -375.0
21 4 -125.0
21 18 -125.0
21 19 125.0
21 20 125.0
22 4 -250.0
22 18 -250.0
22 19 250.0
22 20 125.0
22 21 375.0
24 23 -375.0
25 23 125.0
25 24 -375.0
27 23 -125.0
27 24 125.0
27 25 -125.0
27 26 125.0
28 23 -250.0
28 24 250.0
28 25 -250.0
28 26 125.0
28 27 375.0
30 29 -375.0
32 29 -125.0
32 30 125.0
32 31 125.0
34 33 -375.0
36 33 -125.0
36 34 125.0
36 35 125.0
38 37 -375.0
39 37 125.0
39 38 -375.0
40 37 125.0
40 38 -375.0
40 39 125.0
41 37 125.0
41 38 -375.0
41 39 125.0
41 40 125.0
43 37 -125.0
43 38 125.0
43 39 -125.0
43 40 -125.0
43 41 -125.0
43 42 125.0
44 37 -250.0
44 38 250.0
44 39 -250.0
44 40 -250.0
44 41 -250.0
44 42 125.0
44 43 375.0
45 37 -375.0
45 38 375.0
45 39 -375.0
45 40 -375.0
45 41 -375.0
45 42 125.0
45 43 500.0
45 44 875.0
46 37 -500.0
46 38 500.0
46 39 -500.0
46 40 -500.0
46 41 -500.0
46 42 125.0
46 43 625.0
46 44 1125.0
46 45 1625.0
48 47 -375.0
49 47 125.0
49 48 -375.0
51 47 -125.0
51 48 125.0
51 49 -125.0
51 50 125.0
52 47 -250.0
52 48 250.0
52 49 -250.0
52 50 125.0
52 51 375.0
53 3 125.0
54 3 -375.0
54 40 -375.0
54 53 -375.0
55 3 125.0
55 53 125.0
55 54 -375.0
57 3 -125.0
57 53 -125.0
57 54 125.0
57 55 -125.0
57 56 125.0
58 3 -250.0
58 53 -250.0
58 54 250.0
58 55 -250.0
58 56 125.0
58 57 375.0
59 3 -375.0
59 53 -375.0
59 54 375.0
59 55 -375.0
59 56 125.0
59 57 500.0
59 58 875.0
61 60 -375.0
62 30 -375.0
62 60 125.0
62 61 -375.0
64 60 -125.0
64 61 125.0
64 62 -125.0
64 63 125.0
65 60 -250.0
65 61 250.0
65 62 -250.0
65 63 125.0
65 64 375.0
67 66 -375.0
69 66 -125.0
69 67 125.0
69 68 125.0
71 70 -375.0
73 70 -125.0
73 71 125.0
73 72 125.0
74 29 -375.0
75 0 125.0
75 29 125.0
75 74 -375.0
76 29 125.0
76 74 -375.0
76 75 125.0
78 29 -125.0
78 74 125.0
78 75 -125.0
78 76 -125.0
78 77 125.0
79 29 -250.0
79 74 250.0
79 75 -250.0
79 76 -250.0
79 77 125.0
79 78 375.0
80 29 -375.0
80 74 375.0
80 75 -375.0
80 76 -375.0
80 77 125.0
80 78 500.0
80 79 875.0
82 81 -375.0
84 81 -125.0
84 82 125.0
84 83 125.0
85 10 125.0
86 85 -375.0
87 85 125.0
87 86 -375.0
89 85 -125.0
89 86 125.0
89 87 -125.0
89 88 125.0
90 85 -250.0
90 86 250.0
90 87 -250.0
90 88 125.0
90 89 375.0
92 91 -375.0
93 25 125.0
93 91 125.0
93 92 -375.0
94 24 -375.0
94 91 125.0
94 92 -375.0
94 93 125.0
95 91 125.0
95 92 -375.0
95 93 125.0
95 94 125.0
96 91 125.0
96 92 -375.0
96 93 125.0
96 94 125.0
96 95 125.0
98 91 -125.0
98 92 125.0
98 93 -125.0
98 94 -125.0
98 95 -125.0
98 96 -125.0
98 97 125.0
99 91 -250.0
99 92 250.0
99 93 -250.0
99 94 -250.0
99 95 -250.0
99 96 -250.0
99 97 125.0
99 98 375.0
100 91 -375.0
100 92 375.0
100 93 -375.0
100 94 -375.0
100 95 -375.0
100 96 -375.0
100 97 125.0
100 98 500.0
100 99 875.0
101 91 -500.0
101 92 500.0
101 93 -500.0
101 94 -500.0
101 95 -500.0
101 96 -500.0
101 97 125.0
101 98 625.0
101 99 1125.0
101 100 1625.0
102 91 -625.0
102 92 625.0
102 93 -625.0
102 94 -625.0
102 95 -625.0
102 96 -625.0
102 97 125.0
102 98 750.0
102 99 1375.0
102 100 2000.0
102 101 2625.0
104 103 -375.0
106 103 -125.0
106 104 125.0
106 105 125.0
108 107 -375.0
110 107 -125.0
110 108 125.0
110 109 125.0
112 111 -375.0
114 111 -125.0
114 112 125.0
114 113 125.0
115 37 125.0
116 37 -375.0
116 39 -375.0
116 66 -375.0
116 115 -375.0
117 37 125.0
117 92 -375.0
117 115 125.0
117 116 -375.0
118 37 125.0
118 115 125.0
118 116 -375.0
118 117 125.0
119 37 125.0
119 115 125.0
119 116 -375.0
