856 2325
1 0 -375.0
3 0 -125.0
3 1 125.0
3 2 125.0
5 4 -375.0
7 4 -125.0
7 5 125.0
7 6 125.0
9 8 -375.0
11 8 -125.0
11 9 125.0
11 10 125.0
13 12 -375.0
15 12 -125.0
15 13 125.0
15 14 125.0
17 16 -375.0
18 16 125.0
18 17 -375.0
19 16 125.0
19 17 -375.0
19 18 125.0
21 16 -125.0
21 17 125.0
21 18 -125.0
21 19 -125.0
21 20 125.0
22 16 -250.0
22 17 250.0
22 18 -250.0
22 19 -250.0
22 20 125.0
22 21 375.0
23 16 -375.0
23 17 375.0
23 18 -375.0
23 19 -375.0
23 20 125.0
23 21 500.0
23 22 875.0
25 24 -375.0
27 24 -125.0
27 25 125.0
27 26 125.0
29 28 -375.0
31 28 -125.0
31 29 125.0
31 30 125.0
33 32 -375.0
35 32 -125.0
35 33 125.0
35 34 125.0
37 36 -375.0
39 36 -125.0
39 37 125.0
39 38 125.0
41 40 -375.0
43 40 -125.0
43 41 125.0
43 42 125.0
45 44 -375.0
47 44 -125.0
47 45 125.0
47 46 125.0
48 4 -375.0
50 4 -125.0
50 48 125.0
50 49 125.0
52 51 -375.0
54 51 -125.0
54 52 125.0
54 53 125.0
56 55 -375.0
58 55 -125.0
58 56 125.0
58 57 125.0
60 59 -375.0
62 59 -125.0
62 60 125.0
62 61 125.0
64 63 -375.0
66 63 -125.0
66 64 125.0
66 65 125.0
68 67 -375.0
70 67 -125.0
70 68 125.0
70 69 125.0
72 71 -375.0
74 71 -125.0
74 72 125.0
74 73 125.0
76 8 -375.0
76 75 -375.0
78 75 -125.0
78 76 125.0
78 77 125.0
80 79 -375.0
82 79 -125.0
82 80 125.0
82 81 125.0
84 83 -375.0
86 83 -125.0
86 84 125.0
86 85 125.0
88 87 -375.0
90 87 -125.0
90 88 125.0
90 89 125.0
92 91 -375.0
94 91 -125.0
94 92 125.0
94 93 125.0
96 95 -375.0
98 95 -125.0
98 96 125.0
98 97 125.0
100 91 -375.0
100 99 -375.0
102 99 -125.0
102 100 125.0
102 101 125.0
104 103 -375.0
106 103 -125.0
106 104 125.0
106 105 125.0
108 107 -375.0
110 107 -125.0
110 108 125.0
110 109 125.0
112 111 -375.0
114 111 -125.0
114 112 125.0
114 113 125.0
116 115 -375.0
118 115 -125.0
118 116 125.0
118 117 125.0
120 119 -375.0
122 119 -125.0
122 120 125.0
122 121 125.0
124 75 -375.0
124 123 -375.0
126 123 -125.0
126 124 125.0
126 125 125.0
128 12 -375.0
128 127 -375.0
130 127 -125.0
130 128 125.0
130 129 125.0
132 131 -375.0
134 131 -125.0
134 132 125.0
134 133 125.0
136 135 -375.0
138 135 -125.0
138 136 125.0
138 137 125.0
140 139 -375.0
142 139 -125.0
142 140 125.0
142 141 125.0
144 143 -375.0
146 143 -125.0
146 144 125.0
146 145 125.0
147 56 -375.0
148 147 -375.0
150 147 -125.0
150 148 125.0
150 149 125.0
152 151 -375.0
154 151 -125.0
154 152 125.0
154 153 125.0
155 64 -375.0
156 155 -375.0
158 155 -125.0
158 156 125.0
158 157 125.0
160 159 -375.0
162 159 -125.0
162 160 125.0
162 161 125.0
163 36 125.0
164 163 -375.0
165 163 125.0
165 164 -375.0
167 163 -125.0
167 164 125.0
167 165 -125.0
167 166 125.0
168 163 -250.0
168 164 250.0
168 165 -250.0
168 166 125.0
168 167 375.0
169 120 -375.0
170 169 -375.0
172 169 -125.0
172 170 125.0
172 171 125.0
174 173 -375.0
175 51 125.0
175 173 125.0
175 174 -375.0
177 173 -125.0
177 174 125.0
177 175 -125.0
177 176 125.0
178 173 -250.0
178 174 250.0
178 175 -250.0
178 176 125.0
178 177 375.0
180 179 -375.0
182 179 -125.0
182 180 125.0
182 181 125.0
184 183 -375.0
186 183 -125.0
186 184 125.0
186 185 125.0
187 80 -375.0
188 131 -375.0
188 187 -375.0
190 187 -125.0
190 188 125.0
190 189 125.0
192 191 -375.0
194 191 -125.0
194 192 125.0
194 193 125.0
196 195 -375.0
198 195 -125.0
198 196 125.0
198 197 125.0
200 199 -375.0
202 199 -125.0
202 200 125.0
202 201 125.0
203 192 -375.0
204 151 -375.0
204 203 -375.0
206 203 -125.0
206 204 125.0
206 205 125.0
208 207 -375.0
210 207 -125.0
210 208 125.0
210 209 125.0
212 211 -375.0
214 211 -125.0
214 212 125.0
214 213 125.0
216 199 -375.0
216 215 -375.0
218 215 -125.0
218 216 125.0
218 217 125.0
219 180 -375.0
220 183 -375.0
220 219 -375.0
