485 1644
1 0 -375.0
2 0 125.0
2 1 -375.0
3 0 375.0
3 1 -375.0
3 2 125.0
5 0 -125.0
5 1 125.0
5 2 -125.0
5 3 -125.0
5 4 125.0
6 0 -250.0
6 1 250.0
6 2 -250.0
6 3 -250.0
6 4 125.0
6 5 375.0
7 0 -375.0
7 1 375.0
7 2 -375.0
7 3 -375.0
7 4 125.0
7 5 500.0
7 6 875.0
9 8 -375.0
10 8 125.0
10 9 -375.0
11 8 125.0
11 9 -375.0
11 10 125.0
13 8 -125.0
13 9 125.0
13 10 -125.0
13 11 -125.0
13 12 125.0
14 8 -250.0
14 9 250.0
14 10 -250.0
14 11 -250.0
14 12 125.0
14 13 375.0
15 8 -375.0
15 9 375.0
15 10 -375.0
15 11 -375.0
15 12 125.0
15 13 500.0
15 14 875.0
17 16 -375.0
19 16 -125.0
19 17 125.0
19 18 125.0
21 20 -375.0
23 20 -125.0
23 21 125.0
23 22 125.0
25 24 -375.0
27 24 -125.0
27 25 125.0
27 26 125.0
29 28 -375.0
31 28 -125.0
31 29 125.0
31 30 125.0
32 8 125.0
33 32 -375.0
35 32 -125.0
35 33 125.0
35 34 125.0
37 36 -375.0
39 36 -125.0
39 37 125.0
39 38 125.0
40 0 125.0
40 3 125.0
41 0 -375.0
41 3 -375.0
41 40 -375.0
42 0 250.0
42 3 250.0
42 40 125.0
42 41 -375.0
43 0 125.0
43 3 125.0
43 40 125.0
43 41 -375.0
43 42 125.0
45 0 -125.0
45 3 -125.0
45 40 -125.0
45 41 125.0
45 42 -125.0
45 43 -125.0
45 44 125.0
46 0 -250.0
46 3 -250.0
46 40 -250.0
46 41 250.0
46 42 -250.0
46 43 -250.0
46 44 125.0
46 45 375.0
47 0 -375.0
47 3 -375.0
47 40 -375.0
47 41 375.0
47 42 -375.0
47 43 -375.0
47 44 125.0
47 45 500.0
47 46 875.0
48 0 -500.0
48 3 -500.0
48 40 -500.0
48 41 500.0
48 42 -500.0
48 43 -500.0
48 44 125.0
48 45 625.0
48 46 1125.0
48 47 1625.0
49 0 -625.0
49 3 -625.0
49 40 -625.0
49 41 625.0
49 42 -625.0
49 43 -625.0
49 44 125.0
49 45 750.0
49 46 1375.0
49 47 2000.0
49 48 2625.0
51 50 -375.0
53 50 -125.0
53 51 125.0
53 52 125.0
55 54 -375.0
57 54 -125.0
57 55 125.0
57 56 125.0
59 58 -375.0
61 58 -125.0
61 59 125.0
61 60 125.0
62 40 125.0
63 40 -375.0
63 62 -375.0
65 40 -125.0
65 62 -125.0
65 63 125.0
65 64 125.0
66 40 -250.0
66 62 -250.0
66 63 250.0
66 64 125.0
66 65 375.0
67 3 -375.0
67 42 -375.0
69 3 -125.0
69 42 -125.0
69 67 125.0
69 68 125.0
70 3 -250.0
70 42 -250.0
70 67 250.0
70 68 125.0
70 69 375.0
72 71 -375.0
74 71 -125.0
74 72 125.0
74 73 125.0
76 75 -375.0
78 75 -125.0
78 76 125.0
78 77 125.0
79 8 125.0
79 32 125.0
79 50 125.0
80 8 -375.0
80 32 -375.0
80 79 -375.0
81 8 125.0
81 32 125.0
81 79 125.0
81 80 -375.0
83 8 -125.0
83 32 -125.0
83 79 -125.0
83 80 125.0
83 81 -125.0
83 82 125.0
84 8 -250.0
84 32 -250.0
84 79 -250.0
84 80 250.0
84 81 -250.0
84 82 125.0
84 83 375.0
85 8 -375.0
85 32 -375.0
85 79 -375.0
85 80 375.0
85 81 -375.0
85 82 125.0
85 83 500.0
85 84 875.0
86 8 -500.0
86 32 -500.0
86 79 -500.0
86 80 500.0
86 81 -500.0
86 82 125.0
86 83 625.0
86 84 1125.0
86 85 1625.0
87 11 125.0
88 87 -375.0
89 87 125.0
89 88 -375.0
91 87 -125.0
91 88 125.0
91 89 -125.0
91 90 125.0
92 87 -250.0
92 88 250.0
92 89 -250.0
92 90 125.0
92 91 375.0
94 93 -375.0
96 93 -125.0
96 94 125.0
96 95 125.0
98 97 -375.0
99 97 125.0
99 98 -375.0
100 97 125.0
100 98 -375.0
100 99 125.0
102 97 -125.0
102 98 125.0
102 99 -125.0
102 100 -125.0
102 101 125.0
103 97 -250.0
103 98 250.0
103 99 -250.0
103 100 -250.0
103 101 125.0
103 102 375.0
104 97 -375.0
104 98 375.0
104 99 -375.0
104 100 -375.0
104 101 125.0
104 102 500.0
104 103 875.0
105 42 125.0
106 105 -375.0
108 105 -125.0
108 106 125.0
108 107 125.0
109 58 -375.0
109 89 -375.0
111 89 -125.0
111 109 125.0
111 110 125.0
112 62 125.0
113 112 -375.0
114 112 125.0
114 113 -375.0
115 112 125.0
115 113 -375.0
115 114 125.0
117 112 -125.0
117 113 125.0
117 114 -125.0
117 115 -125.0
117 116 125.0
118 112 -250.0
118 113 250.0
118 114 -250.0
118 115 -250.0
118 116 125.0
118 117 375.0
119 112 -375.0
119 113 375.0
119 114 -375.0
119 115 -375.0
119 116 125.0
119 117 500.0
119 118 875.0
120 41 -375.0
121 120 -375.0
123 120 -125.0
123 121 125.0
123 122 125.0
124 2 125.0
125 2 -375.0
125 124 -375.0
127 2 -125.0
127 124 -125.0
127 125 125.0
127 126 125.0
128 2 -250.0
128 124 -250.0
128 125 250.0
128 126 125.0
128 127 375.0
129 62 -375.0
129 112 -375.0
