684 2780
1 0 -375.0
2 0 125.0
2 1 -375.0
3 0 125.0
3 1 -375.0
3 2 125.0
5 0 -125.0
5 1 125.0
5 2 -125.0
5 3 -125.0
5 4 125.0
6 0 -250.0
6 1 250.0
6 2 -250.0
6 3 -250.0
6 4 125.0
6 5 375.0
7 0 -375.0
7 1 375.0
7 2 -375.0
7 3 -375.0
7 4 125.0
7 5 500.0
7 6 875.0
9 8 -375.0
11 8 -125.0
11 9 125.0
11 10 125.0
13 12 -375.0
15 12 -125.0
15 13 125.0
15 14 125.0
17 16 -375.0
18 16 125.0
18 17 -375.0
19 16 125.0
19 17 -375.0
19 18 125.0
20 16 125.0
20 17 -375.0
20 18 125.0
20 19 125.0
21 16 125.0
21 17 -375.0
21 18 125.0
21 19 250.0
21 20 125.0
23 16 -125.0
23 17 125.0
23 18 -125.0
23 19 -125.0
23 20 -125.0
23 21 -125.0
23 22 125.0
24 16 -250.0
24 17 250.0
24 18 -250.0
24 19 -250.0
24 20 -250.0
24 21 -250.0
24 22 125.0
24 23 375.0
25 16 -375.0
25 17 375.0
25 18 -375.0
25 19 -375.0
25 20 -375.0
25 21 -375.0
25 22 125.0
25 23 500.0
25 24 875.0
26 16 -500.0
26 17 500.0
26 18 -500.0
26 19 -500.0
26 20 -500.0
26 21 -500.0
26 22 125.0
26 23 625.0
26 24 1125.0
26 25 1625.0
27 16 -625.0
27 17 625.0
27 18 -625.0
27 19 -625.0
27 20 -625.0
27 21 -625.0
27 22 125.0
27 23 750.0
27 24 1375.0
27 25 2000.0
27 26 2625.0
29 28 -375.0
30 28 125.0
30 29 -375.0
31 28 125.0
31 29 -375.0
31 30 125.0
33 28 -125.0
33 29 125.0
33 30 -125.0
33 31 -125.0
33 32 125.0
34 28 -250.0
34 29 250.0
34 30 -250.0
34 31 -250.0
34 32 125.0
34 33 375.0
35 28 -375.0
35 29 375.0
35 30 -375.0
35 31 -375.0
35 32 125.0
35 33 500.0
35 34 875.0
37 36 -375.0
38 19 125.0
38 21 125.0
38 36 125.0
38 37 -375.0
39 36 125.0
39 37 -375.0
39 38 125.0
41 36 -125.0
41 37 125.0
41 38 -125.0
41 39 -125.0
41 40 125.0
42 36 -250.0
42 37 250.0
42 38 -250.0
42 39 -250.0
42 40 125.0
42 41 375.0
43 36 -375.0
43 37 375.0
43 38 -375.0
43 39 -375.0
43 40 125.0
43 41 500.0
43 42 875.0
45 44 -375.0
47 44 -125.0
47 45 125.0
47 46 125.0
49 48 -375.0
51 48 -125.0
51 49 125.0
51 50 125.0
52 19 125.0
52 21 125.0
52 38 125.0
52 39 125.0
53 39 -375.0
53 52 -375.0
54 28 125.0
54 39 125.0
54 52 125.0
54 53 -375.0
56 39 -125.0
56 52 -125.0
56 53 125.0
56 54 -125.0
56 55 125.0
57 39 -250.0
57 52 -250.0
57 53 250.0
57 54 -250.0
57 55 125.0
57 56 375.0
58 39 -375.0
58 52 -375.0
58 53 375.0
58 54 -375.0
58 55 125.0
58 56 500.0
58 57 875.0
60 59 -375.0
61 59 125.0
61 60 -375.0
62 59 125.0
62 60 -375.0
62 61 250.0
64 59 -125.0
64 60 125.0
64 61 -125.0
64 62 -125.0
64 63 125.0
65 59 -250.0
65 60 250.0
65 61 -250.0
65 62 -250.0
65 63 125.0
65 64 375.0
66 59 -375.0
66 60 375.0
66 61 -375.0
66 62 -375.0
66 63 125.0
66 64 500.0
66 65 875.0
68 67 -375.0
70 67 -125.0
70 68 125.0
70 69 125.0
72 71 -375.0
74 71 -125.0
74 72 125.0
74 73 125.0
76 75 -375.0
78 75 -125.0
78 76 125.0
78 77 125.0
80 79 -375.0
82 79 -125.0
82 80 125.0
82 81 125.0
84 83 -375.0
85 83 125.0
85 84 -375.0
87 83 -125.0
87 84 125.0
87 85 -125.0
87 86 125.0
88 83 -250.0
88 84 250.0
88 85 -250.0
88 86 125.0
88 87 375.0
90 0 -375.0
90 12 -375.0
90 89 -375.0
91 89 125.0
91 90 -375.0
92 89 125.0
92 90 -375.0
92 91 125.0
93 89 125.0
93 90 -375.0
93 91 125.0
93 92 125.0
94 89 125.0
94 90 -375.0
94 91 125.0
94 92 125.0
94 93 125.0
95 76 -375.0
95 89 125.0
95 90 -375.0
95 91 125.0
95 92 125.0
95 93 125.0
95 94 125.0
97 89 -125.0
97 90 125.0
97 91 -125.0
97 92 -125.0
97 93 -125.0
97 94 -125.0
97 95 -125.0
97 96 125.0
98 89 -250.0
98 90 250.0
98 91 -250.0
98 92 -250.0
98 93 -250.0
98 94 -250.0
98 95 -250.0
98 96 125.0
98 97 375.0
99 89 -375.0
99 90 375.0
99 91 -375.0
99 92 -375.0
99 93 -375.0
99 94 -375.0
99 95 -375.0
99 96 125.0
99 97 500.0
99 98 875.0
100 89 -500.0
100 90 500.0
100 91 -500.0
100 92 -500.0
100 93 -500.0
100 94 -500.0
100 95 -500.0
100 96 125.0
100 97 625.0
100 98 1125.0
100 99 1625.0
101 89 -625.0
101 90 625.0
101 91 -625.0
101 92 -625.0
101 93 -625.0
101 94 -625.0
101 95 -625.0
101 96 125.0
101 97 750.0
101 98 1375.0
101 99 2000.0
101 100 2625.0
102 89 -750.0
102 90 750.0
102 91 -750.0
102 92 -750.0
102 93 -750.0
