224 838
1 0 -375.0
3 0 -125.0
3 1 125.0
3 2 125.0
5 4 -375.0
7 4 -125.0
7 5 125.0
7 6 125.0
9 8 -375.0
10 8 125.0
10 9 -375.0
12 8 -125.0
12 9 125.0
12 10 -125.0
12 11 125.0
13 8 -250.0
13 9 250.0
13 10 -250.0
13 11 125.0
13 12 375.0
14 8 125.0
15 14 -375.0
16 8 125.0
16 14 375.0
16 15 -375.0
18 14 -125.0
18 15 125.0
18 16 -125.0
18 17 125.0
19 14 -250.0
19 15 250.0
19 16 -250.0
19 17 125.0
19 18 375.0
20 4 -375.0
22 4 -125.0
22 20 125.0
22 21 125.0
23 0 -375.0
24 0 125.0
24 23 -375.0
25 0 125.0
25 8 125.0
25 14 125.0
25 16 125.0
25 23 -375.0
25 24 125.0
27 0 -125.0
27 23 125.0
27 24 -125.0
27 25 -125.0
27 26 125.0
28 0 -250.0
28 23 250.0
28 24 -250.0
28 25 -250.0
28 26 125.0
28 27 375.0
29 0 -375.0
29 23 375.0
29 24 -375.0
29 25 -375.0
29 26 125.0
29 27 500.0
29 28 875.0
30 8 125.0
30 14 250.0
30 16 250.0
30 25 125.0
31 16 -375.0
31 30 -375.0
33 16 -125.0
33 30 -125.0
33 31 125.0
33 32 125.0
34 16 -250.0
34 30 -250.0
34 31 250.0
34 32 125.0
34 33 375.0
35 24 -375.0
37 24 -125.0
37 35 125.0
37 36 125.0
38 30 125.0
39 38 -375.0
41 38 -125.0
41 39 125.0
41 40 125.0
42 30 125.0
42 38 125.0
43 42 -375.0
45 42 -125.0
45 43 125.0
45 44 125.0
47 46 -375.0
48 14 125.0
48 16 125.0
48 46 125.0
48 47 -375.0
50 46 -125.0
50 47 125.0
50 48 -125.0
50 49 125.0
51 46 -250.0
51 47 250.0
51 48 -250.0
51 49 125.0
51 50 375.0
53 52 -375.0
55 52 -125.0
55 53 125.0
55 54 125.0
56 14 -375.0
56 30 -375.0
57 14 125.0
57 30 125.0
57 56 -375.0
59 14 -125.0
59 30 -125.0
59 56 125.0
59 57 -125.0
59 58 125.0
60 14 -250.0
60 30 -250.0
60 56 250.0
60 57 -250.0
60 58 125.0
60 59 375.0
61 14 -375.0
61 30 -375.0
61 56 375.0
61 57 -375.0
61 58 125.0
61 59 500.0
61 60 875.0
62 30 125.0
62 38 125.0
62 42 125.0
62 57 125.0
63 57 -375.0
63 62 -375.0
64 57 125.0
64 62 125.0
64 63 -375.0
65 57 125.0
65 62 125.0
65 63 -375.0
65 64 125.0
67 57 -125.0
67 62 -125.0
67 63 125.0
67 64 -125.0
67 65 -125.0
67 66 125.0
68 57 -250.0
68 62 -250.0
68 63 250.0
68 64 -250.0
68 65 -250.0
68 66 125.0
68 67 375.0
69 57 -375.0
69 62 -375.0
69 63 375.0
69 64 -375.0
69 65 -375.0
69 66 125.0
69 67 500.0
69 68 875.0
70 57 -500.0
70 62 -500.0
70 63 500.0
70 64 -500.0
70 65 -500.0
70 66 125.0
70 67 625.0
70 68 1125.0
70 69 1625.0
71 8 125.0
71 14 125.0
71 16 125.0
71 25 125.0
71 30 125.0
72 71 -375.0
74 71 -125.0
74 72 125.0
74 73 125.0
76 75 -375.0
78 75 -125.0
78 76 125.0
78 77 125.0
79 8 -375.0
79 14 -375.0
79 16 -375.0
79 25 -375.0
79 30 -375.0
79 71 -375.0
81 8 -125.0
81 14 -125.0
81 16 -125.0
81 25 -125.0
81 30 -125.0
81 71 -125.0
81 79 125.0
81 80 125.0
82 8 -250.0
82 14 -250.0
82 16 -250.0
82 25 -250.0
82 30 -250.0
82 71 -250.0
82 79 250.0
82 80 125.0
82 81 375.0
83 8 -375.0
83 14 -375.0
83 16 -375.0
83 25 -375.0
83 30 -375.0
83 71 -375.0
83 79 375.0
83 80 125.0
83 81 500.0
83 82 875.0
84 8 -500.0
84 14 -500.0
84 16 -500.0
84 25 -500.0
84 30 -500.0
84 71 -500.0
84 79 500.0
84 80 125.0
84 81 625.0
84 82 1125.0
84 83 1625.0
85 8 -625.0
85 14 -625.0
85 16 -625.0
85 25 -625.0
85 30 -625.0
85 71 -625.0
85 79 625.0
85 80 125.0
85 81 750.0
85 82 1375.0
85 83 2000.0
85 84 2625.0
86 8 -750.0
86 14 -750.0
86 16 -750.0
86 25 -750.0
86 30 -750.0
86 71 -750.0
86 79 750.0
86 80 125.0
86 81 875.0
86 82 1625.0
86 83 2375.0
86 84 3125.0
86 85 3875.0
87 46 -375.0
87 75 -375.0
89 46 -125.0
89 87 125.0
