190 707
1 0 -375.0
2 0 125.0
2 1 -375.0
3 0 125.0
3 1 -375.0
3 2 125.0
5 0 -125.0
5 1 125.0
5 2 -125.0
5 3 -125.0
5 4 125.0
6 0 -250.0
6 1 250.0
6 2 -250.0
6 3 -250.0
6 4 125.0
6 5 375.0
7 0 -375.0
7 1 375.0
7 2 -375.0
7 3 -375.0
7 4 125.0
7 5 500.0
7 6 875.0
9 8 -375.0
10 8 125.0
10 9 -375.0
12 8 -125.0
12 9 125.0
12 10 -125.0
12 11 125.0
13 8 -250.0
13 9 250.0
13 10 -250.0
13 11 125.0
13 12 375.0
14 3 125.0
15 14 -375.0
16 14 125.0
16 15 -375.0
17 14 125.0
17 15 -375.0
17 16 125.0
18 3 125.0
18 14 375.0
18 15 -375.0
18 16 125.0
18 17 125.0
20 14 -125.0
20 15 125.0
20 16 -125.0
20 17 -125.0
20 18 -125.0
20 19 125.0
21 14 -250.0
21 15 250.0
21 16 -250.0
21 17 -250.0
21 18 -250.0
21 19 125.0
21 20 375.0
22 14 -375.0
22 15 375.0
22 16 -375.0
22 17 -375.0
22 18 -375.0
22 19 125.0
22 20 500.0
22 21 875.0
23 14 -500.0
23 15 500.0
23 16 -500.0
23 17 -500.0
23 18 -500.0
23 19 125.0
23 20 625.0
23 21 1125.0
23 22 1625.0
25 24 -375.0
26 24 125.0
26 25 -375.0
27 24 125.0
27 25 -375.0
27 26 125.0
28 3 125.0
28 14 250.0
28 18 250.0
28 24 125.0
28 25 -375.0
28 26 125.0
28 27 125.0
29 24 125.0
29 25 -375.0
29 26 125.0
29 27 125.0
29 28 125.0
31 24 -125.0
31 25 125.0
31 26 -125.0
31 27 -125.0
31 28 -125.0
31 29 -125.0
31 30 125.0
32 24 -250.0
32 25 250.0
32 26 -250.0
32 27 -250.0
32 28 -250.0
32 29 -250.0
32 30 125.0
32 31 375.0
33 24 -375.0
33 25 375.0
33 26 -375.0
33 27 -375.0
33 28 -375.0
33 29 -375.0
33 30 125.0
33 31 500.0
33 32 875.0
34 24 -500.0
34 25 500.0
34 26 -500.0
34 27 -500.0
34 28 -500.0
34 29 -500.0
34 30 125.0
34 31 625.0
34 32 1125.0
34 33 1625.0
35 24 -625.0
35 25 625.0
35 26 -625.0
35 27 -625.0
35 28 -625.0
35 29 -625.0
35 30 125.0
35 31 750.0
35 32 1375.0
35 33 2000.0
35 34 2625.0
36 29 -375.0
37 14 125.0
37 28 125.0
37 29 125.0
37 36 -375.0
38 9 -375.0
38 29 125.0
38 36 -375.0
38 37 125.0
39 9 -375.0
39 29 125.0
39 36 -375.0
39 37 125.0
39 38 125.0
41 29 -125.0
41 36 125.0
41 37 -125.0
41 38 -125.0
41 39 -125.0
41 40 125.0
42 29 -250.0
42 36 250.0
42 37 -250.0
42 38 -250.0
42 39 -250.0
42 40 125.0
42 41 375.0
43 29 -375.0
43 36 375.0
43 37 -375.0
43 38 -375.0
43 39 -375.0
43 40 125.0
43 41 500.0
43 42 875.0
44 29 -500.0
44 36 500.0
44 37 -500.0
44 38 -500.0
44 39 -500.0
44 40 125.0
44 41 625.0
44 42 1125.0
44 43 1625.0
45 17 125.0
46 17 -375.0
46 45 -375.0
48 17 -125.0
48 45 -125.0
48 46 125.0
48 47 125.0
49 17 -250.0
49 45 -250.0
49 46 250.0
49 47 125.0
49 48 375.0
50 3 125.0
50 14 125.0
50 18 125.0
50 28 125.0
51 16 -375.0
51 50 -375.0
52 15 -375.0
52 50 125.0
52 51 -375.0
54 50 -125.0
54 51 125.0
54 52 -125.0
54 53 125.0
55 50 -250.0
55 51 250.0
55 52 -250.0
55 53 125.0
55 54 375.0
56 14 -375.0
56 18 -375.0
58 14 -125.0
58 18 -125.0
58 56 125.0
58 57 125.0
59 14 -250.0
59 18 -250.0
59 56 250.0
59 57 125.0
59 58 375.0
60 26 -375.0
62 26 -125.0
62 60 125.0
62 61 125.0
64 63 -375.0
66 63 -125.0
66 64 125.0
66 65 125.0
67 24 -375.0
69 24 -125.0
69 67 125.0
69 68 125.0
70 3 -375.0
70 14 -375.0
70 18 -375.0
70 28 -375.0
70 50 -375.0
72 3 -125.0
72 14 -125.0
72 18 -125.0
72 28 -125.0
72 50 -125.0
72 70 125.0
72 71 125.0
73 3 -250.0
73 14 -250.0
73 18 -250.0
73 28 -250.0
73 50 -250.0
73 70 250.0
73 71 125.0
73 72 375.0
74 3 -375.0
74 14 -375.0
74 18 -375.0
74 28 -375.0
74 50 -375.0
74 70 375.0
74 71 125.0
74 72 500.0
74 73 875.0
75 3 -500.0
75 14 -500.0
75 18 -500.0
75 28 -500.0
75 50 -500.0
75 70 500.0
75 71 125.0
75 72 625.0
75 73 1125.0
75 74 1625.0
76 3 -625.0
76 14 -625.0
76 18 -625.0
76 28 -625.0
76 50 -625.0
76 70 625.0
76 71 125.0
76 72 750.0
76 73 1375.0
76 74 2000.0
76 75 2625.0
77 45 -375.0
79 45 -125.0
79 77 125.0
79 78 125.0
80 77 -375.0
81 8 -375.0
81 80 -375.0
83 80 -125.0
83 81 125.0
83 82 125.0
84 18 -375.0
84 28 -375.0
86 18 -125.0
86 28 -125.0
86 84 125.0
86 85 125.0
87 18 -250.0
87 28 -250.0
87 84 250.0
87 85 125.0
87 86 375.0
